Timestamp,IncidentId,Stage,Detail,Actor
2025-11-23T08:05:00Z,INC-2025-11-22-0055,Resolved,Emergency traffic rerouted via SYD-BNE-MEL indirect path (higher latency).,noc.oncall
2025-12-03T09:30:00Z,INC-2025-12-03-0012,Detected,Threshold-based alerting on PacketLossPct,monitoring
2025-12-03T09:38:00Z,INC-2025-12-03-0012,Acknowledged,P3 incident acknowledged,noc.oncall
2025-12-06T09:30:00Z,INC-2025-12-03-0012,Resolved,SFP module replaced during next maintenance window.,noc.oncall
2025-12-12T19:15:00Z,INC-2025-12-12-0019,Detected,Customer-reported complaints correlated with utilization threshold alerts,monitoring
2025-12-12T19:28:00Z,INC-2025-12-12-0019,Acknowledged,P3 incident acknowledged,noc.oncall
2025-12-12T22:45:00Z,INC-2025-12-12-0019,Resolved,Self-resolved when peak traffic subsided at 22:00.,noc.oncall
2025-12-20T03:14:00Z,INC-2025-12-20-0027,Detected,Power monitoring system — voltage threshold alert (<210V),monitoring
2025-12-20T03:15:32Z,INC-2025-12-20-0027,Acknowledged,P2 incident acknowledged,noc.oncall
2025-12-20T03:17:32Z,INC-2025-12-20-0027,Escalated,Power brownout at Melbourne data center - generator cut-in,noc.lead
2025-12-20T03:22:00Z,INC-2025-12-20-0027,Resolved,Generator ran for 45 minutes until mains power stabilized.,noc.oncall
2026-01-05T03:00:00Z,INC-2026-01-05-0002,Detected,Change management system — planned event (CHG-2026-0003),monitoring
2026-01-05T03:05:00Z,INC-2026-01-05-0002,Acknowledged,P4 incident acknowledged,change.bot
2026-01-05T04:15:00Z,INC-2026-01-05-0002,Resolved,Firmware upgrade completed per runbook.,noc.oncall
2026-01-08T01:15:00Z,INC-2026-01-08-0003,Detected,Alert rate anomaly — periodic pattern detected,monitoring
2026-01-08T01:17:30Z,INC-2026-01-08-0003,Acknowledged,P2 incident acknowledged,noc.oncall
2026-01-08T01:19:30Z,INC-2026-01-08-0003,Escalated,OSPF flap storm SYD core - software bug,noc.lead
2026-01-08T02:00:00Z,INC-2026-01-08-0003,Resolved,Applied vendor hotfix SMU.,noc.oncall
2026-01-12T02:30:00Z,INC-2026-01-12-0011,Detected,Change management system — planned event (CHG-2026-0009),monitoring
2026-01-12T02:35:00Z,INC-2026-01-12-0011,Acknowledged,P4 incident acknowledged,change.bot
2026-01-12T04:00:00Z,INC-2026-01-12-0011,Resolved,Antenna realigned to spec.,noc.oncall
2026-01-15T18:30:00Z,INC-2026-01-15-0021,Detected,Threshold-based alerting on UtilizationPct,monitoring
2026-01-15T18:31:45Z,INC-2026-01-15-0021,Acknowledged,P2 incident acknowledged,noc.oncall
2026-01-15T18:33:45Z,INC-2026-01-15-0021,Escalated,Capacity exhaustion LINK-SYD-MEL-FIBRE-02,noc.lead
2026-01-15T20:30:00Z,INC-2026-01-15-0021,Resolved,Maintenance window on FIBRE-01 shortened.,noc.oncall
2026-01-20T11:22:00Z,INC-2026-01-20-0016,Detected,Anomaly detection on optical power time-series (rate-of-change threshold),monitoring
2026-01-20T11:25:00Z,INC-2026-01-20-0016,Acknowledged,P3 incident acknowledged,noc.oncall
2026-01-20T11:25:00Z,INC-2026-01-20-0016,Resolved,Self-recovered — no operator intervention.,field.team
2026-01-28T10:00:00Z,INC-2026-01-28-0009,Detected,Customer-reported — no network-side alerts generated,external.reporter
2026-01-28T10:15:00Z,INC-2026-01-28-0009,Acknowledged,P2 incident acknowledged,external.reporter
2026-01-28T10:17:00Z,INC-2026-01-28-0009,Escalated,DNS resolution failure impacting VPN-ACME-CORP,noc.lead
2026-01-28T11:00:00Z,INC-2026-01-28-0009,Resolved,Customer corrected their DNS configuration.,noc.oncall
2026-02-01T02:00:00Z,INC-2026-02-01-0015,Detected,Change management system — planned event,monitoring
2026-02-01T02:03:00Z,INC-2026-02-01-0015,Acknowledged,P3 incident acknowledged,change.bot
2026-02-01T08:00:00Z,INC-2026-02-01-0015,Resolved,Maintenance completed.,noc.oncall
2026-02-03T10:45:00Z,INC-2026-02-03-0014,Acknowledged,P3 incident acknowledged,external.reporter
2026-02-03T10:45:00Z,INC-2026-02-03-0014,Detected,Third-party notification — council works supervisor called the infrastructure hotline after the excavator operator reported hitting a marked conduit. No network-side alerts were generated because no optical or electrical fault occurred.,external.reporter
2026-02-03T16:30:00Z,INC-2026-02-03-0014,Resolved,Field inspection team dispatched at 12:15.,field.team
